sid,uid,episode,json字数,pdf字数,比率,連問,json先頭80字
endo,endo_ch02_q42,115B-48,215,944,22%,Y,連問 2/2次の文を読み、41 と42 の問いに答えよ。 37 歳の女性。全身倦怠感と頭痛を主訴に来院した。現病歴：半年前から倦怠感を自覚していた。3 か月前か
endo,endo_ch02_q50,112F-75,331,563,58%,Y,連問 1/349 歳の女性。意識障害のため救急車で搬入された。現病歴：2 か月前から夕方の買い物中にボーッとなって近くの医療機関を受診し点滴を受けて帰宅すること
endo,endo_ch02_q51,112F-76,348,933,37%,Y,連問 2/349 歳の女性。意識障害のため救急車で搬入された。現病歴：2 か月前から夕方の買い物中にボーッとなって近くの医療機関を受診し点滴を受けて帰宅すること
endo,endo_ch02_q52,112F-77,338,551,61%,Y,連問 3/349 歳の女性。意識障害のため救急車で搬入された。現病歴：2 か月前から夕方の買い物中にボーッとなって近くの医療機関を受診し点滴を受けて帰宅すること
endo,endo_ch02_q55,109B-56,320,955,33%,Y,連問 1/367 歳の男性。人間ドックで異常を指摘され来院した。現病歴：5 年前に退職してから健康診断を受けていなかった。妻に勧められて初めて受診した人間ドック
endo,endo_ch02_q56,109B-57,321,945,33%,Y,連問 2/367 歳の男性。人間ドックで異常を指摘され来院した。現病歴：5 年前に退職してから健康診断を受けていなかった。妻に勧められて初めて受診した人間ドック
endo,endo_ch02_q57,109B-58,333,959,34%,Y,連問 3/367 歳の男性。人間ドックで異常を指摘され来院した。現病歴：5 年前に退職してから健康診断を受けていなかった。妻に勧められて初めて受診した人間ドック
endo,endo_ch03_q100,116C-60,307,901,34%,Y,連問 1/382 歳の女性。歩行困難のため救急車で搬入された。現病歴：1 か月前から倦怠感を訴えていた。前日の朝から食欲不振が出現し、午後になって2 回嘔吐した
endo,endo_ch03_q101,116C-61,335,919,36%,Y,連問 2/382 歳の女性。歩行困難のため救急車で搬入された。現病歴：1 か月前から倦怠感を訴えていた。前日の朝から食欲不振が出現し、午後になって2 回嘔吐した
endo,endo_ch03_q102,116C-62,321,903,35%,Y,連問 3/382 歳の女性。歩行困難のため救急車で搬入された。現病歴：1 か月前から倦怠感を訴えていた。前日の朝から食欲不振が出現し、午後になって2 回嘔吐した
endo,endo_ch04_q120,119F-60,319,850,37%,Y,連問 1/376 歳の男性。強いふらつきを主訴に救急車で搬入された。現病歴：3 か月前から倦怠感やふらつきが目立ち、寒がるようになった。動作緩慢、便秘および経口
endo,endo_ch04_q121,119F-61,330,855,38%,Y,連問 2/376 歳の男性。強いふらつきを主訴に救急車で搬入された。現病歴：3 か月前から倦怠感やふらつきが目立ち、寒がるようになった。動作緩慢、便秘および経口
endo,endo_ch04_q122,119F-62,332,853,38%,Y,連問 3/376 歳の男性。強いふらつきを主訴に救急車で搬入された。現病歴：3 か月前から倦怠感やふらつきが目立ち、寒がるようになった。動作緩慢、便秘および経口
endo,endo_ch04_q125,117C-63,325,862,37%,Y,連問 1/350 歳の女性。発熱と強い動悸のため救急車で搬入された。現病歴：6 日前から咽頭痛と軽度の咳嗽が出現し、自宅近くの診療所で総合感冒薬の処方を受けた。
endo,endo_ch04_q126,117C-64,318,847,37%,Y,連問 2/350 歳の女性。発熱と強い動悸のため救急車で搬入された。現病歴：6 日前から咽頭痛と軽度の咳嗽が出現し、自宅近くの診療所で総合感冒薬の処方を受けた。
endo,endo_ch04_q127,117C-65,322,852,37%,Y,連問 3/350 歳の女性。発熱と強い動悸のため救急車で搬入された。現病歴：6 日前から咽頭痛と軽度の咳嗽が出現し、自宅近くの診療所で総合感冒薬の処方を受けた。
endo,endo_ch04_q154,113B-41,338,629,53%,Y,連問 2/2次の文を読み、153 と154 の問いに答えよ。40 歳の女性。動悸を主訴に来院した。現病歴：2 か月前から動悸を自覚している。当初は、買い物などで
endo,endo_ch04_q165,108B-53,332,898,36%,Y,連問 1/374 歳の女性。意欲低下と全身倦怠感とを主訴に来院した。現病歴：3 年前に夫を亡くし、そのころから意欲低下を自覚するようになったが誰にも相談しなかっ
endo,endo_ch04_q166,108B-54,325,884,36%,Y,連問 2/374 歳の女性。意欲低下と全身倦怠感とを主訴に来院した。現病歴：3 年前に夫を亡くし、そのころから意欲低下を自覚するようになったが誰にも相談しなかっ
endo,endo_ch04_q167,108B-55,333,898,37%,Y,連問 3/374 歳の女性。意欲低下と全身倦怠感とを主訴に来院した。現病歴：3 年前に夫を亡くし、そのころから意欲低下を自覚するようになったが誰にも相談しなかっ
endo,endo_ch06_q238,116B-46,347,549,63%,Y,連問 1/2次の文を読み、238 と239 の問いに答えよ。20 歳の男性。動悸と頭痛を主訴に来院した。現病歴：17 歳の時から時々動悸と頭痛を自覚していた。本
endo,endo_ch06_q239,116B-47,336,800,42%,Y,連問 2/2次の文を読み、238 と239 の問いに答えよ。20 歳の男性。動悸と頭痛を主訴に来院した。現病歴：17 歳の時から時々動悸と頭痛を自覚していた。本
endo,endo_ch08_q338,118C-72,318,911,34%,Y,連問 1/378 歳の男性。意識混濁のため救急車で搬入された。現病歴：8 年前の健康診断で高血糖を指摘されたが、そのままにしていた。半年前から体重が10kg 以
endo,endo_ch08_q339,118C-73,351,964,36%,Y,連問 2/378 歳の男性。意識混濁のため救急車で搬入された。現病歴：8 年前の健康診断で高血糖を指摘されたが、そのままにしていた。半年前から体重が10kg 以
